artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Umberto Boccioni,Italian,"Milan Futurist Group,Lacerba","{Modern art:1},{Futurism:101},","David Alfaro Siqueiros,","David Alfaro Siqueiros,forests-and-trees,female-nude,allegories-and-symbols,female-portraits,streets-and-squares,handwork,allegories-and-symbols,animals,allegories-and-symbols,horses,games-and-sport,allegories-and-symbols,gates-and-towers,dishware-and-cutlery,reading-and-writing,allegories-and-symbols,streets-and-squares,houses-and-buildings,couples,female-portraits,allegories-and-symbols,characters-and-emotions,celebrations-and-festivals,allegories-and-symbols,female-portraits,characters-and-emotions,characters-and-emotions,night,fields-and-plains,factories-and-plants,troubles-and-disasters,couples,fictional-characters,Paolo,Francesca,animals,horses,factories-and-plants,countryside,gardens-and-parks,male-portraits,famous-people,animals,dogs,roads-and-vehicles,foxes,rivers-and-waterfalls,walking,lonely figures,","Paesaggio (montuoso),Sintesi plastica - Persona seduta,Nudo (complementarismo plastico di forma-colore),Dinamismo de un jugador de fútbol,L'antigrazioso,Figura,La Risata,Notturno,Il lutto,La Madre,Il sogno (Paolo e Francesca),Fabbrica Foltzer,Veneriamo la madre,Automobile e Caccia alla volpe,","Artists2/Umberto Boccioni/Landscape Mountains 1916.jpg,Artists2/Umberto Boccioni/Nocturne 1911.jpg,Artists2/Umberto Boccioni/Factory Foltzer 1909.jpg,","Mario Sironi,",1906,1916,
Christian Krohg,,,"{Realism:3},{Modern art:4},",,,,,,1888,1888,
Gerard ter Borch,,,,,,,,,1658,1660,
Mikhail Vrubel,Russian,Mir Iskusstva (World of Art),"{Symbolism:174},","Byzantine Art,Early Renaissance,Sir Lawrence Alma-Tadema,Giovanni Bellini,","Vsevolod Maksymovych,",,"Ilya Repin,Imperial Academy of Arts, Saint Petersburg, Russia,","Mykola Murashko,Valentin Serov,Konstantin Korovin,",1878,1910,
Andy Warhol,American,The Factory,"{Pop Art:222},","Robert Rauschenberg,Jasper Johns,Marcel Duchamp,Frank Stella,John Cage,Georgia O'Keeffe,Man Ray,Dada,Abstract Expressionism,","Damien Hirst,Jeff Koons,Gerhard Richter,Pop Art,Neo-Expressionism,Wolfgang Tillmans,",,,"Larry Rivers,Philip Pearlstein,Jean-Michel Basquiat,Francesco Clemente,Salvador Dali,",1953,1988,
Richard Wilson,British,,"{Rococo:27},",,,,,,1744,1800,
John Trumbull,American,,"{Neoclassicism:15},",,,,,"Thomas Cole,",1777,1821,
Franz Xaver Winterhalter,German,,"{Neoclassicism,Romanticism:177},",,,,,,1818,1872,
Giorgio Morandi,Italian,Novecento Italiano,"{Metaphysical art,Magic Realism:66},","Paul Cezanne,Giorgio de Chirico,Carlo Carra,Paolo Uccello,Caravaggio,",,,,,1913,1964,
Adriaen van Ostade,,,"{Dutch Golden Age:2},{Baroque:2},",,,,,,1610,1685,
