artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Sooni Taraporevala,,,,,,,,,1977,2013,
Paul Delaroche,French,,"{Romanticism:1},{Academic Art,Romanticism:34},",,,,,"Jean-Francois Millet,",1824,1853,
Agostino Brunias,,,,,,,,,,,
Zaha Hadid,,,,,,,,,1996,2014,
José Ferraz de Almeida Júnior,,,,,,,,,1874,1899,
Samuel Bourne,,,,,,,,,1863,1870,
Ryūsei Kishida,,,,,,,,,1914,1926,
Helmut Newton,,,,,,,,,,,
Mihály Munkácsy,,,,,,,,,1865,1865,
Gerard de Lairesse,,,"{Dutch Golden Age:1},{Baroque:1},",,,,,,,,
Rachel Whiteread,,,"{Young British Artists:1},{Conceptual art:1},{Contemporary art:1},",,,,,,,,
Jin Nong,,,,,,,,,1687,1687,
Martha Cooper,,,,,,,,,1977,2015,
Kuzma Petrov-Vodkin,,,,,,,,,1934,1934,
Cornelius van Poelenburgh,,,,,,,,,1623,1667,
Chuck Close,American,,"{Photorealism (Super-Realism, Hyper-Realism):11},",,,,,,1968,2007,
John Frederick Kensett,American,Hudson River School,"{Luminism:3},{Hudson River School:3},{Impressionism:15},",,,,,,1851,1951,
Joris Hoefnagel,,,"{Dutch and Flemish Renaissance painting:5},{Northern Renaissance:24},{Renaissance:24},",,,,,,1561,1596,
Thomas Daniell,,,,,,,,,1797,1802,
Steve McQueen,,,,,,,,,,,
Osman Hamdi Bey,,,,,,,,,,,
Hugo van der Goes,,,,,,,,,,,
David Wilkie,British,,"{Romanticism:38},",,,,,,1804,1841,
Severin Roesen,,,"{Naturalism:1},",,,,,,1850,1860,
Paul-Jacques-Aimé Baudry,,,,,,,,,1862,1876,
Jules Pascin,"French,Bulgarian",École de Paris,"{Expressionism:16},",,,,,"Moise Kisling,",1906,1928,
Thierry Mugler,,,,,,,,,,,
Nam June Paik,"American,South Korean",Fluxus,"{Neo-Dada:22},",,,,"Karl Otto Gotz,","Joseph Beuys,",1963,2006,
Carlo Dolci,,,,,,,,,1665,1665,
Thomas Hudson,,,,,,,,,1750,1750,
Ramon Martí Alsina,,,,,,,,,1826,1894,
Felice Casorati,Italian,,"{Metaphysical art:30},",,,,,,1909,1959,
Ernesto Neto,,,,,,,,,,,
William Beechey,,,,,,,,,1789,1838,
William Kentridge,,,,,,,,,2003,2012,
Charles Marion Russell,,,,,,,,,1916,1924,
Bernardino Luini,,,"{Milanese School:3},{Italian Renaissance:1},",,,,,,1500,1532,
Nicolai Fechin,,,,,,,,,1900,1916,
Pieter Lastman,,,,,,,,,1625,1625,
David Roberts,British,,"{Romanticism:66},",,,,,,1829,1903,
Luca Signorelli,Italian,Tuscan school,"{Italian Renaissance:1},{Renaissance:1},{High Renaissance:92},",,"Raphael,",,,"Il Sodoma,",1470,1520,
Jenny Holzer,,,,,,,,,1997,1997,
José Luis Cuevas,,,"{Modernism:1},",,,,,,1958,1999,
Christen Købke,,,,,,,,,,,
Paris Bordone,,,,,,,,,1540,1560,
Luke the Evangelist,,,"{Dutch and Flemish Renaissance painting:71},{German Renaissance:1},{Antwerp school:1},{Northern Renaissance:73},{Baroque:2},{Renaissance:92},",,,,,,1525,2005,
Francesco di Giorgio Martini,,,"{Sienese School:4},{Italian Renaissance:5},{Renaissance:5},",,,,,,,,
Harvey Littleton,,,,,,,,,1942,1987,
Petrus Christus,Flemish,Dutch School,"{Northern Renaissance:27},","Jan van Eyck,","Hugo van der Goes,",,"Jan van Eyck,",,1435,1470,
John Glover,"British,Australian",,"{Romanticism:21},",,,,,,1790,1840,
Walter Crane,British,,"{Arts and Crafts ,Neo-Romanticism:95},","Edward Burne-Jones,Pre-Raphaelite Brotherhood,Sandro Botticelli,",,,,,1862,1910,
Pinturicchio,Italian,Umbrian school,"{Italian Renaissance:1},{Sienese School:1},{Renaissance:1},{High Renaissance:23},",,"Il Sodoma,",,,,1471,1509,
Wang Shimin,,,,,,,,,1656,1661,
Thomas Hirschhorn,,,,,,,,,1995,2006,
Henri Le Sidaner,,,,,,,,,1924,1924,
Stanisław Wyspiański,,,"{Art Nouveau:1},{Modern art:1},",,,,,,1888,1904,
André Le Nôtre,,,,,,,,,,,
Federico de Madrazo,,,,,,,,,1840,1850,
Jacopo de' Barbari,,,,,,,,,,,
Max Dupain,,,,,,,,,1944,1944,
Emanuel Leutze,,,,,,,,,1850,1864,
Sigmar Polke,German,,"{New European Painting:25},","Joseph Beuys,","David Salle,Wolfgang Tillmans,",,"Joseph Beuys,Karl Otto Gotz,","Gerhard Richter,",1967,2007,
József Rippl-Rónai,,,"{Post-Impressionism:1},{Art Nouveau:1},{Modern art:2},",,,,,,,,
Vladimir Mayakovsky,,,,,,,,,1913,1930,
Victor Hugo,French,,"{Symbolism:36},",,,,,,1847,1875,
Alfred Jacob Miller,,,,,,,,,,,
Philippe de Champaigne,,,,,,,,,1630,1648,
Kiki Smith,"American,German",,"{Feminist Art:46},",,,,,,1987,2012,
Ron Arad,,,,,,,,,2003,2007,
Pietro Longhi,French,,"{Rococo:71},",,,,,,1734,1774,
Michael Landy,,,"{Young British Artists:1},{Contemporary art:1},",,,,,,2011,2011,
Guillermo Kahlo,,,,,,,,,1897,1932,
Ike no Taiga,,,,,,,,,1763,1763,
Jacob Riis,,,,,,,,,,,
Käthe Kollwitz,,,,,,,,,1897,1945,
Fikret Mualla Saygı,,,,,,,,,,,
Brian Eno,,,,,,,,,,,
Francis Hayman,,,"{Rococo:1},",,,,,,1740,1765,
Arthur Hughes,British,Pre-Raphaelite Brotherhood,"{Romanticism:39},",,,,,,1845,1908,
Marcel Wanders,,,,,,,,,1998,2012,
Willem Claesz. Heda,,,"{Dutch Golden Age:1},{Baroque:1},",,,,,,,,
Rudolf von Alt,,,"{Romanticism:1},",,,,,,1832,1855,
Sadahide,,,,,,,,,1860,1860,
Sebastiano Conca,,,,,,,,,1720,1723,
Alexander Andreyevich Ivanov,,,,,,,,,,,
Claes Oldenburg,"American,Swedish",,"{Pop Art:23},",,,,,,1959,2006,
Telemaco Signorini,,,,,,,,,1867,1870,
Johann Wilhelm Baur,,,,,,,,,,,
Edward Ruscha,American,,"{Pop Art:33},","Edward Hopper,",,,,,1959,2009,
Francesco Albani,,,,,,,,,1610,1615,
Frans Floris,,,,,,,,,,,
Phidias,,,,,,,,,,,
Nick Knight,,,,,,,,,,,
Pieter Coecke van Aelst,,,"{Dutch and Flemish Renaissance painting:1},{Northern Renaissance:2},{Renaissance:2},",,,,,,1520,1535,
Alfredo Volpi,"Italian,Brazilian",,"{Modernismo:25},",,,,,,1896,1988,
Giorgio Ghisi,,,,,,,,,1570,1580,
Walter Gropius,,,,,,,,,1926,1926,
Giuseppe De Nittis,Italian,Macchiaioli,"{Impressionism:30},",,,,,,1868,1884,
Charles Sheeler,American,,"{American modernism:1},{Modern art:1},{Precisionism:16},","Charles Demuth,",,,,"George Ault,",1917,1955,
Alfredo Jaar,,,,,,,,,2004,2014,
Sean Scully,"American,Irish",,"{Post-Minimalism,Neo-Minimalism (Neo-Geo):30},",,,,,,1973,2009,
Philippe Mercier,,,,,,,,,,,
Aert van der Neer,,,"{Dutch Golden Age:1},{Baroque:1},",,,,,,1620,1677,
Joseph Kosuth,American,Art & Language,"{Conceptual Art:23},",,,,,,1965,2006,
Sonia Delaunay,"French,Russian,Jewish",École de Paris,"{Orphism (Simultanism):90},",,,,,"Vadym Meller,Roman Selsky,Margit Selska,",1907,1972,
Willem van Aelst,,,,,,,,,1668,1674,
Günther Förg,,,,,,,,,,,
Francesco Bassano the Younger,,,,,,,,,1686,1686,
Eugène Viollet-le-Duc,,,,,,,,,,,
Suh Yongsun,,"Seoul National University. Korea. M.F.A., Painting.",,,,,,,2014,2014,
Jan Fyt,,,,,,,,,1640,1650,
John Thomson,,,,,,,,,,,
Giuseppe Cesari,,,,,,,,,1598,1613,
Raoul Dufy,French,Les Fauves,"{Post-Impressionism,Cubism:161},",,"Carlos Nadal,",,,,1899,1953,
Daniel Hopfer,,,"{German Renaissance:1},{Northern Renaissance:1},{Renaissance:1},",,,,,,1520,1684,
Eustache Le Sueur,French,,"{Baroque:34},",,,,,,1635,1660,
Wu Bin,,,,,,,,,1615,1615,
Jean Lurçat,,,,,,,,,1901,1960,
Howard Chandler Christy,,,,,,,,,1917,1947,
M. F. Husain,,,,,,,,,1950,1983,
Jesús Rafael Soto,,,,,,,,,1975,1991,
Napoleon Sarony,,,,,,,,,1866,1891,
Antonis Mor,,,,,,,,,1549,1570,
Hans Holbein the Elder,,,,,,,,,1495,1513,
Edward Weston,American,Group f/64,"{Surrealism:17},",,,,,,1925,1942,
Dirck van Baburen,,,,,,,,,,,
Jacob Cornelisz van Oostsanen,,,,,,,,,1490,1500,
George Hurrell,,,,,,,,,,,
Clarence Hudson White,,,,,,,,,1902,1902,
Yuan Jiang,,,,,,,,,,,
Chalermchai Kositpipat,,,,,,,,,,,
Álvaro Siza,,,,,,,,,,,
Oskar Kokoschka,Austrian,"Vienna Secession,Dresden Secession,Degenerate art,Der Sturm","{Expressionism:98},","Gustav Klimt,",,"David Lynch,",,"Egon Schiele,",1901,1966,
Balthasar van der Ast,,,"{Dutch Golden Age:1},{Baroque:1},",,,,,,1629,1629,
Édouard Detaille,,,,,,,,,1874,1882,
Maximilien Luce,French,,,"Le Berger observant la mer,",,,,,1890,1917,
Eero Järnefelt,,,,,,,,,,,
Ary Scheffer,"Dutch,French",,"{Romanticism:17},",,,,,,1828,1858,
Charles Bird King,,,,,,,,,1820,1820,
Hua Yan,,,,,,,,,1682,1682,
Eugeniusz Lokajski,,,,,,,,,,,
Marion Post Wolcott,,,,,,,,,1938,1976,
Kamisaka Sekka,,,,,,,,,1868,1912,
Giorgio Sommer,,,,,,,,,1845,1900,
Eilif Peterssen,,,"{Modern art:2},{Impressionism:2},",,,,,,,,
François-Xavier Fabre,,,,,,,,,1787,1808,
Vanessa Beecroft,,,,,"private collection,","Artists1/Vanessa Beecroft/Senza Titolo##cgEXuIIG2IHV3A.jpg,",,,1996,2006,
Pierre Soulages,French,,"{Tachisme:39},",,,,,,1919,2011,
Henri Gaudier-Brzeska,,,,,,,,,1914,1914,
Richard Hamilton,British,Independent Group,"{Pop Art:65},",,,,,"Dieter Roth,",1956,2008,
Craig McDean,,,,,,,,,,,
Rachel Ruysch,Dutch,,"{Dutch Golden Age:1},{Baroque:34},","Otto Marseus van Schrieck,",,,"Willem van Aelst,",,1684,1746,
Jeff Soto,,,,,,,,,2013,2014,
Kōshirō Onchi,,,,,,,,,1915,1949,
Paul Ranson,,,,,,,,,1896,1896,
Enrico Baj,Italian,"COBRA,Arte Nucleare","{Surrealism,Neo-Dada:64},",,,,,,1952,2000,
Elizabeth Nourse,,,,,,,,,,,
Andreas Gursky,German,Düsseldorf School of Photography,"{Contemporary:14},",,,,,,1987,2015,
Miklós Barabás,,,,,,,,,1842,1847,
Agostino Carracci,Italian,,"{Baroque:50},",,,,,,1576,1600,
Aristide Maillol,French,Les Nabis,"{Modern art:1},{Impressionism:18},","Paul Gauguin,Auguste Rodin,",,"Vlady,","Alexandre Cabanel,Jean-Leon Gerome,",,1900,1962,
Elie Nadelman,,,,,,,,,1938,1947,
Yun Shouping,,,,,,,,,1671,1671,
Andrea Appiani,,,,,,,,,1792,1816,
Alexander Cozens,,,,,,,,,1770,1770,
Nikiforos Lytras,,,,,,,,,1865,1900,
Choe Buk,,,,,,,,,1712,1786,
Henri Harpignies,,,,,,,,,,,
Louise Nevelson,"American,Russian,Jewish",,"{Abstract Expressionism:15},",,,,,,1942,1988,
Arthur Wesley Dow,,,"{Modern art:2},",,,,,,1900,1900,
Gyoshū Hayami,,,,,,,,,1915,1921,
Dan Graham,,,,,,,,,1972,2016,
Matthäus Merian,,,,,,,,,,,
Bartholomeus van der Helst,,,,,,,,,,,
James Northcote,,,,,,,,,1796,1796,
Marcello Bacciarelli,"Italian,Polish",,"{Baroque:18},","National Museum, Kraków, Poland,Royal Castle, Warsaw, Poland,",,,,,1326,1801,
E. Irving Couse,,,,,,,,,1896,1918,
Zhang Sengyou,,,,,,,,,,,
Josef Čapek,,,"{Modern art:1},",,,,,,1918,1926,
Carlos de Haes,,,,,,,,,1856,1884,
William Etty,,,,,,,,,1823,1824,
John Opie,,,,,,,,,1794,1794,
Ivan Meštrović,,,,,,,,,,,
Tilman Riemenschneider,,,"{German Renaissance:1},{Northern Renaissance:1},{Renaissance:1},",,,,,,1505,1522,
Otto Mueller,German,"Die Brücke (The Bridge),Degenerate art","{Expressionism:190},",,,,"Franz Stuck,",,1903,1929,
Eliseu Visconti,"Italian,Brazilian",,"{Art Nouveau:1},{Modern art:2},{Impressionism:1},{Symbolism,Impressionism,Art Nouveau:46},",,,,,,1866,1944,
Virgil Solis,,,"{German Renaissance:2},{Northern Renaissance:2},{Renaissance:2},",,,,,,1537,1560,
Andreas Feininger,,,,,,,,,1919,1964,
Edwin Lutyens,,,,,,,,,,,
Wangechi Mutu,,,,,,,,,,,
Sophie Taeuber-Arp,,,"{Dada:1},{Abstract art:1},",,,,,,,,
Ferdinando Galli-Bibiena,,,,,,,,,,,
Jacopo Sansovino,,,"{Italian Renaissance:2},{Renaissance:2},",,,,,,,,
Douris,,,,,,,,,,,
Theodore Robinson,,,"{American Impressionism:4},{Modern art:4},{Impressionism:4},",,,,,,1891,1892,
Rosemarie Trockel,German,Mülheimer Freiheit,"{Feminist Art,New European Painting:10},","Joseph Beuys,",,,,,1983,2013,
Jacob Maris,,,,,,,,,,,
Pietro Testa,,,,,,,,,1645,1650,
Jean Clouet,,,,,,,,,,,
Cornelis Pietersz Bega,,,,,,,,,,,
Frederic Whitaker,,,,,,,,,1925,1977,
Paul César Helleu,,,"{Post-Impressionism:1},{Modern art:1},",,,,,,1885,1885,
Robert Mangold,American,,"{Minimalism:37},",,,,,,1967,2010,
Hubert von Herkomer,,,,,,,,,,,
Edwin Lord Weeks,American,,"{Romanticism:111},",,,,,,1866,1902,
Pedro Américo,,,,,,,,,1860,1895,
Elmer Borlongan,,,"{Contemporary art:16},",,,,,,1993,2017,
Domenico di Pace Beccafumi,,,,,,,,,1513,1547,
Étienne Maurice Falconet,,,,,,,,,1757,1766,
Exekias,,,,,,,,,,,
Antonio Segui,,,,,,,,,1981,2001,
Perino del Vaga,,,"{Italian Renaissance:4},{Renaissance:4},{Mannerism:1},",,,,,,1522,1522,
T. C. Steele,,,,,,,,,,,
Chris Marker,,,,,,,,,,,
Léon Cogniet,,,,,,,,,,,
Ambrosius Bosschaert,,,,,,,,,,,
Herbert Ponting,,,,,,,,,1910,1913,
Franz von Lenbach,,,,,,,,,1885,1895,
Claude Michel,,,,,,,,,1782,1800,
Mario Mafai,,,,,,,,,1930,1934,
Everett Shinn,,,,,,,,,,,
Mariano Fortuny,,,,,,,,,1860,1939,
Alfred Henry Maurer,,,,,,,,,,,
Gregorio Fernández,,,,,,,,,,,
Carl Fredrik Hill,,,,,,,,,,,
E. Phillips Fox,,,,,,,,,,,
Sarah Moon,,,,,,,,,,,
Lorenzo Bartolini,,,,,,,,,1808,1808,
Pier Leone Ghezzi,,,,,,,,,1720,1725,
Dennis Oppenheim,American,,"{Conceptual Art,Post-Minimalism,Environmental Art:11},","Vito Acconci,",,,,"Vito Acconci,",1968,1997,
Yasuo Kuniyoshi,"American,Japanese",,"{Expressionism:93},",,,,,,1920,1952,
James Gleeson,,,,,,,,,,,
L. A. Ring,,,,,,,,,,,
Colin McCahon,,,,,,,,,,,
Cecilia Beaux,,,,,,,,,1909,1909,
Ercole de' Roberti,,,,,,,,,,,
Baldassare Franceschini,,,,,,,,,1640,1670,
Pedro Friedeberg,,,,,,,,,1962,1998,
Walead Beshty,,,,,,,,,2005,2005,
Orlan,,,,,,,,,2014,2014,
John F. Peto,,,,,,,,,1890,1900,
Luis Nishizawa,,,,,,,,,1998,1999,
Giulio Clovio,"Croatians,Italians",,"{High Renaissance:17},",,,,,"Pieter Bruegel the Elder,El Greco,",1532,1568,
Domenico Campagnola,,,,,,,,,1516,1558,
Abraham van Beijeren,,,,,,,,,,,
Do-ho Suh,,,,,,,,,2003,2003,
Roger Hiorns,,,,,,,,,,,
Clara Peeters,Flemish,,"{Baroque:12},",,,,,,1607,1640,
Samuel Colman,,,,,,,,,,,
Chakaia Booker,,,,,,,,,2001,2001,
Michiel Jansz. van Mierevelt,,,,,,,,,,,
Pellegrino Tibaldi,,,"{Italian Renaissance:2},{Renaissance:2},{Mannerism:2},",,,,,,1565,1585,
Francesco de Mura,,,,,,,,,,,
Bartolomé Bermejo,,,,,,,,,1474,1477,
Saul Steinberg,"American,Jewish,Romanian",,,,,,,,1929,1988,
Adriaen van de Venne,,,,,,,,,1615,1631,
Francesco Bacchiacca,,,,,,,,,1523,1530,
Eduardo Kobra,,,,,,,,,2014,2014,
James Peale,,,"{Romanticism:1},",,,,,,1787,1821,
Hyung Koo Kang,,"Chungang University. Seoul, Korea. B.F.A., Painting.",,,,,,,,,
Maxime Maufra,French,Pont-Aven School,"{Impressionism,Post-Impressionism:159},","sunrise-and-sunset,countryside,cliffs-and-rocks,cottages-and-farmhouses,folk-architecture,mountains,countryside,roads-and-vehicles,islands-and-bays,Finistere,seas-and-oceans,cliffs-and-rocks,Finistere,sunrise-and-sunset,seas-and-oceans,castles-and-fortresses,boats-and-ships,moles-and-embankments,Belle-Île,mountains,boats-and-ships,seas-and-oceans,Belle-Île,boats-and-ships,seas-and-oceans,cliffs-and-rocks,spring,rivers-and-waterfalls,boats-and-ships,fishing,mountains,Belle-Île,castles-and-fortresses,Belle-Île,fires-and-floods,houses-and-buildings,moles-and-embankments,cliffs-and-rocks,streets-and-squares,folk-architecture,boats-and-ships,seas-and-oceans,seas-and-oceans,lakes-and-ponds,cliffs-and-rocks,Normandy,factories-and-plants,handwork,seas-and-oceans,mountains,forests-and-trees,mountains,folk-architecture,mountains,forests-and-trees,boats-and-ships,rivers-and-waterfalls,rivers-and-waterfalls,rain-and-fog,Normandy,cliffs-and-rocks,spring,countryside,rivers-and-waterfalls,gardens-and-parks,rivers-and-waterfalls,rain-and-fog,Seine,Finistere,countryside,seas-and-oceans,mountains,Finistere,winter,fields-and-plains,Finistere,boats-and-ships,seas-and-oceans,mountains,mountains,Finistere,cottages-and-farmhouses,folk-architecture,Douarnenez,cliffs-and-rocks,Douarnenez,boats-and-ships,seas-and-oceans,mountains,Douarnenez,autumn,countryside,fields-and-plains,Douarnenez,storm-and-tempest,sunrise-and-sunset,mountains,fields-and-plains,harvesting,mountains,winter,cottages-and-farmhouses,folk-architecture,fields-and-plains,boats-and-ships,cliffs-and-rocks,cottages-and-farmhouses,","Private Collection,",,,"Artists2/Maxime Maufra/At Sunrise In A Valley Brittany 1916.jpg,Artists2/Maxime Maufra/The Village On The River Bozel 1914.jpg,Artists2/Maxime Maufra/The Village Of Kerhostin 1911.jpg,Artists2/Maxime Maufra/The Bay Of In Concarneau 1911.jpg,Artists2/Maxime Maufra/Beuzec Concq In Concarneau 1911.jpg,Artists2/Maxime Maufra/Sunset On The Sea 1910.jpg,Artists2/Maxime Maufra/Port Castle Of Belle Ile 1910.jpg,Artists2/Maxime Maufra/Cliffs Of The Wild Coast 1910.jpg,Artists2/Maxime Maufra/Back To Fishing Boats In Belle Isle En Mer 1910.jpg,Artists2/Maxime Maufra/The Heart Of The Port Of Goulphar Belle Ile En Mer 1909.jpg,Artists2/Maxime Maufra/The Auray River 1909.jpg,Artists2/Maxime Maufra/Fishing Sardine Boat 1909.jpg,Artists2/Maxime Maufra/Belle Ile En Mer Evening Cote Sauvage 1909.jpg,Artists2/Maxime Maufra/Belle Ile Castle 1909.jpg,Artists2/Maxime Maufra/The Embankment Of Lagny Under Flood Water 1908.jpg,Artists2/Maxime Maufra/The Dunes Of Port Blanc Near Ile De Quiberon 1908.jpg,Artists2/Maxime Maufra/The Descending Street At Locronan 1906.jpg,Artists2/Maxime Maufra/The Transatlantic Leaving Port 1905.jpg,Artists2/Maxime Maufra/The Entrance To Harbour Sauzon 1905.jpg,Artists2/Maxime Maufra/The Conch At Vieux Chateau 1905.jpg,Artists2/Maxime Maufra/Quayside In Le Havre 1905.jpg,Artists2/Maxime Maufra/Coast Goulphar 1905.jpg,Artists2/Maxime Maufra/Study Of Mountains 1904.jpg,Artists2/Maxime Maufra/Semaphore Of The Beg Meil Brittany 1904.jpg,Artists2/Maxime Maufra/Mountain Landscape 1904.jpg,Artists2/Maxime Maufra/Lake Lovitel 1904.jpg,Artists2/Maxime Maufra/Beg Meil At Dusk 1904.jpg,Artists2/Maxime Maufra/The Creek Shore Of Quibero 1903.jpg,Artists2/Maxime Maufra/The River 1902.jpg,Artists2/Maxime Maufra/The Retreating Fog Morning Les Andelys 1902.jpg,Artists2/Maxime Maufra/March Sunlight Port Marly 1902.jpg,Artists2/Maxime Maufra/Landscape 1902.jpg,Artists2/Maxime Maufra/Fog On The Seine The Andelys 1902.jpg,Artists2/Maxime Maufra/Evening Morgat Beach 1902.jpg,Artists2/Maxime Maufra/The Village Morgat 1901.jpg,Artists2/Maxime Maufra/Frost At Morgat 1901.jpg,Artists2/Maxime Maufra/Semaphore Of The Beg Meil Brittany 1900.jpg,Artists2/Maxime Maufra/Powdery Sunshine 1900.jpg,Artists2/Maxime Maufra/Departure Of Fishing Boats 1900.jpg,Artists2/Maxime Maufra/Beg Miel Bay Of Cocarneau 1900.jpg,Artists2/Maxime Maufra/The Beach At Morgat Finistere 1899.jpg,Artists2/Maxime Maufra/A Cottage With Thatched Roof In Douarnenez 1898.jpg,Artists2/Maxime Maufra/Landscape Near Douarnenez 1897.jpg,Artists2/Maxime Maufra/Douarnenez In Sunshine 1897.jpg,Artists2/Maxime Maufra/Douarnenez October Landscape 1896.jpg,Artists2/Maxime Maufra/The Storm 1892.jpg,Artists2/Maxime Maufra/Pont Aven Red Sky 1892.jpg,Artists2/Maxime Maufra/Harvesting Of Goemon 1891.jpg,Artists2/Maxime Maufra/Cottages In The Snow 1891 1.jpg,Artists2/Maxime Maufra/Meadow 1888.jpg,Artists2/Maxime Maufra/Amont Prairie 1888.jpg,Artists2/Maxime Maufra/The Old Bridge In Barbin 1884.jpg,Artists2/Maxime Maufra/The Old Bridge In Ancenis 1884.jpg,Artists2/Maxime Maufra/Beached Boat 1882.jpg,Artists2/Maxime Maufra/The High Island 1880.jpg,",1893,1913,
Linnaeus Tripe,,,,,,,,,1854,1858,
Viggo Johansen,,,,,,,,,1891,1894,
Francesco Melzi,,,,,,,,,1510,2016,
James Seymour,,,,,,,,,,,
Tavar Zawacki,,,,,,,,,2012,2014,
Giulio Aristide Sartorio,,,"{Academic art:2},{Modern art:1},",,,,,,1890,1923,
Cosmas Damian Asam,,,,,,,,,,,
Daniel Chester French,,,,,,,,,1914,1926,
Angelo Morbelli,,,,,,,,,1889,1915,
Jan Weenix,,,,,,,,,1664,1664,
Oswald Achenbach,,,,,,,,,,,
Mori Sosen,,,,,,,,,1787,1787,
Hashimoto Gahō,,,,,,,,,1895,1899,
Edmonia Lewis,,,,,,,,,1870,1870,
Esaias van de Velde,,,"{Dutch Golden Age:1},{Baroque:1},",,,,,,,,
John Crome,British,Norwich School,"{Norwich School:1},{Romanticism:58},",,,,,,1805,1821,
Rafael Coronel,,,"{Contemporary art:2},",,,,,,1965,2002,
Janet Cardiff,,,,,,,,,2008,2009,
James Gillray,,,,,,,,,1782,1789,
Antoine de Favray,,,,,,,,,,,
Hercules Seghers,Dutch,Dutch School,"{Baroque:18},",,,,,,1615,1635,
Hercules Brabazon Brabazon,,,,,,,,,,,
Victor Brecheret,,,,,,,,,1920,1954,
Luca della Robbia,,,,,,,,,,,
Peder Balke,Norwegian,,"{Modernism:12},",,,,,,,,
Tyrus Wong,,,,,,,,,,,
Frederick William MacMonnies,,,"{American Renaissance:2},{Classicism:4},{Modern art:1},{Aestheticism:2},",,,,,,1888,1917,
Thomas Cooper Gotch,,,,,,,,,,,
Sylvester Shchedrin,,,,,,,,,,,
Sarah Sze,,,,,,,,,2011,2012,
Paul T. Frankl,,,,,,,,,1926,1936,
Alicia Alonso,,,,,,,,,1940,1947,
Paul Bril,Flemish,,"{Baroque:27},",,,"Agostino Tassi,",,,1580,1643,
John Cheere,,,,,,,,,1755,1756,
William H. Rau,,,,,,,,,1890,1904,
Ohara Koson,Japanese,,"{Taishō period (1912–1926),Shōwa period (1926–1989):130},",,,,,,1910,1935,
Francesco Barbieri,,,,,,,,,,,
Edwin Austin Abbey,American,Tile Club,"{Romanticism:20},",,,,,,1875,1901,
Zhao Yong,,,,,,,,,1353,1353,
Antonio Mancini,Italian,,"{Modern art:1},{Impressionism:22},",,,,,,1872,1920,
Josiah Wedgwood,,,,,,,,,1789,1789,
Albin Egger-Lienz,,,,,,,,,1920,1923,
Alphonse Legros,,,"{Bolognese School:1},{Realism:308},{Romanticism:60},",,,,,,,,
El Anatsui,"Ghanaian,Nigerian",,"{Junk Art,Post-Minimalism:17},",,,,,,1990,2010,
Jenaro Pérez Villaamil,,,,,,,,,1836,1842,
Kamāl ud-Dīn Behzād,,,,,,,,,,,
Francesco Botticini,,,"{Early Renaissance:3},","Artists2/Francesco Botticini/The Assumption Of The Virgin 1477.jpg,",,,,,1470,1475,
Julius Caesar Ibbetson,,,,,,,,,,,
Carrie Mae Weems,,,,,,,,,1987,2003,
Sun Kehong,,,,,,,,,,,
Bonifazio Veronese,,,,,,,,,,,
James David Smillie,,,,,,,,,,,
Battistello Caracciolo,,,,,,,,,,,
Sakakibara Shiho,,,,,,,,,,,
Mariano Salvador Maella,,,,,,,,,1759,1782,
Sami Efendi,,,,,,,,,,,
Adolfo Wildt,,,,,,,,,1899,1914,
Li Gonglin,,,,,,,,,1106,1106,
Jan van Bijlert,,,,,,,,,,,
Andrea di Bonaiuto da Firenze,,,,,,,,,,,
Johan Thomas Lundbye,,,,,,,,,,,
Hendrik Willem Mesdag,,,,,,,,,,,
Mircea Cantor,,,"{Contemporary art:2},",,,,,,2007,2014,
Hong Ren,,,,,,,,,1664,1664,
Melchior d'Hondecoeter,,,,,,,,,,,
Daniël Mijtens,,,,,,,,,,,
Federico Zandomeneghi,Italian,Macchiaioli,"{Impressionism:42},",,,,,,1873,1908,
Gerbrand van den Eeckhout,,,"{Dutch Golden Age:1},{Baroque:1},",,,,,,,,
Carlos Mérida,,,,,,,,,1961,1961,
Pietro Bernini,,,,,,,,,,,
Vilhelms Purvītis,,,,,,,,,1910,1934,
Ralph Albert Blakelock,,,,,,,,,1868,1898,
Cornelis de Vos,,,,,,,,,1630,1630,
George Gower,,,,,,,,,,,
Arpita Singh,,,,,,,,,1989,2012,
Konstantinos Parthenis,"Italian,Greek",Art (Τέχνη),"{Symbolism,Post-Impressionism:61},",,,,,,1896,1955,
Juan van der Hamen,,,,,,,,,1621,1621,
Constantin Hansen,,,,,,,,,,,
James Barry,Irish,English school,"{Neoclassicism,Romanticism:19},",,,,,,1767,1803,
